"Part";"Value";"Device";"Package";"Description";"PROD_ID";
"A_IN1";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"A_IN2";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"A_OUT";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"B_IN1";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"B_IN2";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"B_OUT";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"C3";"1.0uF";"CAP0805";"0805";"Capacitor";"";
"C4";"1.0uF";"CAP0805";"0805";"Capacitor";"";
"C5";"100n";"CAP0805";"0805";"Capacitor";"";
"C6";"100n";"CAP0805";"0805";"Capacitor";"";
"C25";"47u";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"C30";"47u";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";
"CV_IN_A";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"CV_IN_B";"THONKICONNNEW";"THONKICONNNEW";"WQP-PJ301M-12_JACK";"3.5mm socket for Eurorack modular synths";"";
"D3";"";"LED3MM";"LED3MM";"LEDs";"DIO-08794";
"D4";"";"LED3MM";"LED3MM";"LEDs";"DIO-08794";
"D5";"";"LED3MM";"LED3MM";"LEDs";"DIO-08794";
"D6";"";"LED3MM";"LED3MM";"LEDs";"DIO-08794";
"D7";"1N5819HW";"DIODE-SOD123";"SOD123";"DIODE";"";
"D8";"1N5819HW";"DIODE-SOD123";"SOD123";"DIODE";"";
"JP2";"EURO_POWER_HEADERFAT_PADS";"EURO_POWER_HEADERFAT_PADS";"EURO_PWR_HEADER_FAT";"Power Header";"";
"LDR1";"VACTROL_4PIN";"VACTROL_4PIN";"VACTROL_4PIN_VTL5C";"4 Pin Vactrol Resistive Photocoupler";"";
"LDR2";"VACTROL_4PIN";"VACTROL_4PIN";"VACTROL_4PIN_VTL5C";"4 Pin Vactrol Resistive Photocoupler";"";
"LDR3";"VACTROL_4PIN";"VACTROL_4PIN";"VACTROL_4PIN_VTL5C";"4 Pin Vactrol Resistive Photocoupler";"";
"LDR4";"VACTROL_4PIN";"VACTROL_4PIN";"VACTROL_4PIN_VTL5C";"4 Pin Vactrol Resistive Photocoupler";"";
"R1";"4.7k";"RESISTOR1206";"1206";"Resistor";"";
"R2";"1k";"RESISTOR1206";"1206";"Resistor";"";
"R3";"1k";"RESISTOR1206";"1206";"Resistor";"";
"R4";"22k";"RESISTOR1206";"1206";"Resistor";"";
"R5";"22k";"RESISTOR1206";"1206";"Resistor";"";
"R6";"22k";"RESISTOR1206";"1206";"Resistor";"";
"R7";"1k";"RESISTOR1206";"1206";"Resistor";"";
"R8";"15k";"RESISTOR1206";"1206";"Resistor";"";
"R9";"4.7k";"RESISTOR1206";"1206";"Resistor";"";
"R10";"4.7k";"RESISTOR1206";"1206";"Resistor";"";
"R11";"220";"RESISTOR1206";"1206";"Resistor";"";
"R12";"150";"RESISTOR1206";"1206";"Resistor";"";
"R13";"4.7k";"RESISTOR1206";"1206";"Resistor";"";
"R14";"1k";"RESISTOR1206";"1206";"Resistor";"";
"R15";"1k";"RESISTOR1206";"1206";"Resistor";"";
"R16";"22k";"RESISTOR1206";"1206";"Resistor";"";
"R17";"22k";"RESISTOR1206";"1206";"Resistor";"";
"R18";"22k";"RESISTOR1206";"1206";"Resistor";"";
"R19";"1k";"RESISTOR1206";"1206";"Resistor";"";
"R20";"15k";"RESISTOR1206";"1206";"Resistor";"";
"R21";"4.7k";"RESISTOR1206";"1206";"Resistor";"";
"R22";"4.7k";"RESISTOR1206";"1206";"Resistor";"";
"R23";"220";"RESISTOR1206";"1206";"Resistor";"";
"R24";"150";"RESISTOR1206";"1206";"Resistor";"";
"T1";"";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"T2";"";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"T3";"";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"T4";"";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";
"U1";"TL072_SMD";"TL072_SMD";"SO08";"Generic Dual Op Amp";"";
"VR1";"20k";"BOURNS_3362P_TRIMMERP";"BOURNS_3362P_TRIMMER";"3362 Series";"";
"VR4";"20k";"BOURNS_3362P_TRIMMERP";"BOURNS_3362P_TRIMMER";"3362 Series";"";
